start_time            run_type    run_no   run_time_H:M:S      dump_folder
2016-4-21.14:21:42      basic       0      0:00:00.151368      gaussianWSinAndParabola/ny_16
2016-4-21.14:21:42      basic       1      0:00:00.171442      gaussianWSinAndParabola/ny_32
2016-4-21.14:21:43      basic       2      0:00:00.253253      gaussianWSinAndParabola/ny_64
2016-4-21.14:21:43      basic       3      0:00:00.381412      gaussianWSinAndParabola/ny_128
2016-4-21.14:21:43      basic       4      0:00:00.632609      gaussianWSinAndParabola/ny_256
2016-4-21.14:21:44      basic       5      0:00:01.098281      gaussianWSinAndParabola/ny_512
2016-4-21.14:21:45      basic       6      0:00:02.172711      gaussianWSinAndParabola/ny_1024
2016-4-21.14:21:47      basic       7      0:00:03.400288      gaussianWSinAndParabola/ny_2048
2016-4-21.14:26:47      basic       0      0:00:00.171255      gaussianWSinAndParabola/ny_16
2016-4-21.14:26:48      basic       1      0:00:00.202124      gaussianWSinAndParabola/ny_32
2016-4-21.14:26:48      basic       2      0:00:00.292475      gaussianWSinAndParabola/ny_64
2016-4-21.14:26:48      basic       3      0:00:00.514615      gaussianWSinAndParabola/ny_128
2016-4-21.14:26:49      basic       4      0:00:00.813512      gaussianWSinAndParabola/ny_256
2016-4-21.14:26:49      basic       5      0:00:01.177309      gaussianWSinAndParabola/ny_512
2016-4-21.14:26:51      basic       6      0:00:02.089561      gaussianWSinAndParabola/ny_1024
2016-4-21.14:26:53      basic       7      0:00:04.000750      gaussianWSinAndParabola/ny_2048
2016-4-21.23:28:27      basic       0      0:00:00.046193      gaussianWSinAndParabola/ny_16
2016-4-21.23:28:27      basic       1      0:00:00.044679      gaussianWSinAndParabola/ny_32
2016-4-21.23:28:27      basic       2      0:00:00.059067      gaussianWSinAndParabola/ny_64
2016-4-21.23:28:27      basic       3      0:00:00.092495      gaussianWSinAndParabola/ny_128
2016-4-21.23:28:27      basic       4      0:00:00.127277      gaussianWSinAndParabola/ny_256
2016-4-21.23:28:27      basic       5      0:00:00.229149      gaussianWSinAndParabola/ny_512
2016-4-21.23:28:27      basic       6      0:00:00.414875      gaussianWSinAndParabola/ny_1024
2016-4-21.23:28:28      basic       7      0:00:00.903536      gaussianWSinAndParabola/ny_2048
2016-4-25.14:58:29      basic       0      0:00:00.044194      gaussianWSinAndParabola/ny_16
2016-4-25.14:58:29      basic       1      0:00:00.057081      gaussianWSinAndParabola/ny_32
2016-4-25.14:58:29      basic       2      0:00:00.079208      gaussianWSinAndParabola/ny_64
2016-4-25.14:58:29      basic       3      0:00:00.109187      gaussianWSinAndParabola/ny_128
2016-4-25.14:58:30      basic       4      0:00:00.161613      gaussianWSinAndParabola/ny_256
2016-4-25.14:58:30      basic       5      0:00:00.305743      gaussianWSinAndParabola/ny_512
2016-4-25.14:58:30      basic       6      0:00:00.598936      gaussianWSinAndParabola/ny_1024
2016-4-25.14:58:31      basic       7      0:00:00.988063      gaussianWSinAndParabola/ny_2048
2016-4-25.15:55:52      basic       0      0:00:00.034392      gaussianWSinAndParabola/ny_16
2016-4-25.15:55:52      basic       1      0:00:00.044254      gaussianWSinAndParabola/ny_32
2016-4-25.15:55:52      basic       2      0:00:00.047268      gaussianWSinAndParabola/ny_64
2016-4-25.15:55:52      basic       3      0:00:00.104032      gaussianWSinAndParabola/ny_128
