start_time            run_type    run_no   run_time_H:M:S      dump_folder
2016-4-13.15:25:35      basic       0      0:00:00.055195      noYDepInProf/ny_16
2016-4-13.15:25:35      basic       1      0:00:00.057496      noYDepInProf/ny_32
2016-4-13.15:25:35      basic       2      0:00:00.056520      noYDepInProf/ny_64
2016-4-13.15:25:35      basic       3      0:00:00.111848      noYDepInProf/ny_128
2016-4-13.15:25:35      basic       4      0:00:00.162449      noYDepInProf/ny_256
2016-4-13.15:25:35      basic       5      0:00:00.264357      noYDepInProf/ny_512
2016-4-13.15:25:35      basic       6      0:00:00.473458      noYDepInProf/ny_1024
2016-4-13.15:25:36      basic       7      0:00:00.876554      noYDepInProf/ny_2048
2016-4-21.14:57:1       basic       0      0:00:00.141894      noXDepInFunc/ny_16
2016-4-21.14:57:1       basic       1      0:00:00.171174      noXDepInFunc/ny_32
2016-4-21.14:57:1       basic       2      0:00:00.328629      noXDepInFunc/ny_64
2016-4-21.14:57:2       basic       3      0:00:00.389522      noXDepInFunc/ny_128
2016-4-21.14:57:2       basic       4      0:00:00.531718      noXDepInFunc/ny_256
2016-4-21.14:57:3       basic       5      0:00:00.941372      noXDepInFunc/ny_512
2016-4-21.14:57:4       basic       6      0:00:01.767820      noXDepInFunc/ny_1024
2016-4-21.14:57:5       basic       7      0:00:03.467764      noXDepInFunc/ny_2048
2016-4-21.23:34:43      basic       0      0:00:00.040118      noXDepInFunc/ny_16
2016-4-21.23:34:43      basic       1      0:00:00.044066      noXDepInFunc/ny_32
2016-4-21.23:34:44      basic       2      0:00:00.051255      noXDepInFunc/ny_64
2016-4-21.23:34:44      basic       3      0:00:00.075383      noXDepInFunc/ny_128
2016-4-21.23:34:44      basic       4      0:00:00.141879      noXDepInFunc/ny_256
2016-4-21.23:34:44      basic       5      0:00:00.253662      noXDepInFunc/ny_512
2016-4-21.23:34:44      basic       6      0:00:00.563165      noXDepInFunc/ny_1024
2016-4-21.23:34:45      basic       7      0:00:00.941292      noXDepInFunc/ny_2048
2016-4-25.18:32:39      basic       0      0:00:00.043594      noXDepInFunc/ny_16
2016-4-25.18:32:40      basic       1      0:00:00.053918      noXDepInFunc/ny_32
2016-4-25.18:32:40      basic       2      0:00:00.049332      noXDepInFunc/ny_64
2016-4-25.18:32:40      basic       3      0:00:00.077018      noXDepInFunc/ny_128
2016-4-25.18:32:40      basic       4      0:00:00.133430      noXDepInFunc/ny_256
2016-4-25.18:32:40      basic       5      0:00:00.214447      noXDepInFunc/ny_512
2016-4-25.18:32:40      basic       6      0:00:00.535367      noXDepInFunc/ny_1024
2016-4-25.18:32:41      basic       7      0:00:00.789903      noXDepInFunc/ny_2048
2016-4-25.18:44:25      basic       0      0:00:00.038329      noXDepInFunc/ny_16
2016-4-25.18:44:25      basic       1      0:00:00.041437      noXDepInFunc/ny_32
2016-4-25.18:44:25      basic       2      0:00:00.057987      noXDepInFunc/ny_64
2016-4-25.18:44:25      basic       3      0:00:00.071935      noXDepInFunc/ny_128
2016-4-25.18:44:25      basic       4      0:00:00.120453      noXDepInFunc/ny_256
2016-4-25.18:44:25      basic       5      0:00:00.219726      noXDepInFunc/ny_512
2016-4-25.18:44:25      basic       6      0:00:00.372282      noXDepInFunc/ny_1024
2016-4-25.18:44:26      basic       7      0:00:00.731542      noXDepInFunc/ny_2048
2016-4-25.18:45:16      basic       0      0:00:00.041199      noXDepInFunc/ny_16
2016-4-25.18:45:16      basic       1      0:00:00.059657      noXDepInFunc/ny_32
2016-4-25.18:45:16      basic       2      0:00:00.056609      noXDepInFunc/ny_64
2016-4-25.18:45:16      basic       3      0:00:00.071969      noXDepInFunc/ny_128
2016-4-25.18:45:16      basic       4      0:00:00.116348      noXDepInFunc/ny_256
2016-4-25.18:45:16      basic       5      0:00:00.226175      noXDepInFunc/ny_512
2016-4-25.18:45:16      basic       6      0:00:00.479012      noXDepInFunc/ny_1024
2016-4-25.18:45:17      basic       7      0:00:00.724994      noXDepInFunc/ny_2048
2016-4-25.18:53:33      basic       0      0:00:00.040549      noXDepInFunc/ny_16
2016-4-25.18:53:33      basic       1      0:00:00.046338      noXDepInFunc/ny_32
2016-4-25.18:53:33      basic       2      0:00:00.050414      noXDepInFunc/ny_64
2016-4-25.18:53:33      basic       3      0:00:00.076984      noXDepInFunc/ny_128
2016-4-25.18:53:33      basic       4      0:00:00.121047      noXDepInFunc/ny_256
2016-4-25.18:53:33      basic       5      0:00:00.228687      noXDepInFunc/ny_512
2016-4-25.18:53:33      basic       6      0:00:00.387608      noXDepInFunc/ny_1024
2016-4-25.18:53:34      basic       7      0:00:00.759733      noXDepInFunc/ny_2048
2016-4-25.19:0:48       basic       0      0:00:00.048475      noXDepInFunc/ny_16
2016-4-25.19:0:48       basic       1      0:00:00.048922      noXDepInFunc/ny_32
2016-4-25.19:0:48       basic       2      0:00:00.056551      noXDepInFunc/ny_64
2016-4-25.19:0:48       basic       3      0:00:00.075085      noXDepInFunc/ny_128
2016-4-25.19:0:48       basic       4      0:00:00.112001      noXDepInFunc/ny_256
2016-4-25.19:0:49       basic       5      0:00:00.201949      noXDepInFunc/ny_512
2016-4-25.19:0:49       basic       6      0:00:00.399930      noXDepInFunc/ny_1024
2016-4-25.19:0:49       basic       7      0:00:00.716610      noXDepInFunc/ny_2048
2016-4-25.19:3:28       basic       0      0:00:00.046941      noXDepInFunc/ny_16
2016-4-25.19:3:28       basic       1      0:00:00.042557      noXDepInFunc/ny_32
2016-4-25.19:3:29       basic       2      0:00:00.053632      noXDepInFunc/ny_64
2016-4-25.19:3:29       basic       3      0:00:00.071728      noXDepInFunc/ny_128
2016-4-25.19:3:29       basic       4      0:00:00.114942      noXDepInFunc/ny_256
2016-4-25.19:3:29       basic       5      0:00:00.229854      noXDepInFunc/ny_512
2016-4-25.19:3:29       basic       6      0:00:00.375509      noXDepInFunc/ny_1024
2016-4-25.19:3:29       basic       7      0:00:00.735759      noXDepInFunc/ny_2048
2016-4-25.19:15:52      basic       0      0:00:00.051724      noXDepInFunc/ny_16
2016-4-25.19:15:52      basic       1      0:00:00.077508      noXDepInFunc/ny_32
2016-4-25.19:15:52      basic       2      0:00:00.064312      noXDepInFunc/ny_64
2016-4-25.19:15:52      basic       3      0:00:00.127714      noXDepInFunc/ny_128
2016-4-25.19:15:52      basic       4      0:00:00.122938      noXDepInFunc/ny_256
2016-4-25.19:15:52      basic       5      0:00:00.210925      noXDepInFunc/ny_512
2016-4-25.19:15:52      basic       6      0:00:00.446309      noXDepInFunc/ny_1024
2016-4-25.19:15:53      basic       7      0:00:00.723461      noXDepInFunc/ny_2048
2016-4-25.19:16:43      basic       0      0:00:00.040843      noXDepInFunc/ny_16
2016-4-25.19:16:43      basic       1      0:00:00.041724      noXDepInFunc/ny_32
2016-4-25.19:16:43      basic       2      0:00:00.055552      noXDepInFunc/ny_64
2016-4-25.19:16:43      basic       3      0:00:00.081237      noXDepInFunc/ny_128
2016-4-25.19:16:43      basic       4      0:00:00.115950      noXDepInFunc/ny_256
2016-4-25.19:16:43      basic       5      0:00:00.242938      noXDepInFunc/ny_512
2016-4-25.19:16:43      basic       6      0:00:00.371182      noXDepInFunc/ny_1024
2016-4-25.19:16:44      basic       7      0:00:00.768106      noXDepInFunc/ny_2048
2016-4-25.19:18:18      basic       0      0:00:00.043988      noXDepInFunc/ny_16
2016-4-25.19:18:18      basic       1      0:00:00.043912      noXDepInFunc/ny_32
2016-4-25.19:18:18      basic       2      0:00:00.057908      noXDepInFunc/ny_64
2016-4-25.19:18:19      basic       3      0:00:00.079922      noXDepInFunc/ny_128
2016-4-25.19:18:19      basic       4      0:00:00.122860      noXDepInFunc/ny_256
2016-4-25.19:18:19      basic       5      0:00:00.205613      noXDepInFunc/ny_512
2016-4-25.19:18:19      basic       6      0:00:00.380164      noXDepInFunc/ny_1024
2016-4-25.19:18:19      basic       7      0:00:00.741466      noXDepInFunc/ny_2048
2016-4-25.19:19:10      basic       0      0:00:00.046917      noXDepInFunc/ny_16
2016-4-25.19:19:10      basic       1      0:00:00.052413      noXDepInFunc/ny_32
2016-4-25.19:19:10      basic       2      0:00:00.050109      noXDepInFunc/ny_64
2016-4-25.19:19:10      basic       3      0:00:00.074764      noXDepInFunc/ny_128
2016-4-25.19:19:10      basic       4      0:00:00.145725      noXDepInFunc/ny_256
2016-4-25.19:19:10      basic       5      0:00:00.209204      noXDepInFunc/ny_512
2016-4-25.19:19:10      basic       6      0:00:00.394779      noXDepInFunc/ny_1024
2016-4-25.19:19:11      basic       7      0:00:00.744792      noXDepInFunc/ny_2048
2016-4-25.19:19:41      basic       0      0:00:00.039184      noXDepInFunc/ny_16
2016-4-25.19:19:41      basic       1      0:00:00.040896      noXDepInFunc/ny_32
2016-4-25.19:19:41      basic       2      0:00:00.059123      noXDepInFunc/ny_64
2016-4-25.19:19:41      basic       3      0:00:00.079312      noXDepInFunc/ny_128
2016-4-25.19:19:41      basic       4      0:00:00.135942      noXDepInFunc/ny_256
2016-4-25.19:19:41      basic       5      0:00:00.207579      noXDepInFunc/ny_512
2016-4-25.19:19:41      basic       6      0:00:00.372988      noXDepInFunc/ny_1024
2016-4-25.19:19:42      basic       7      0:00:00.728313      noXDepInFunc/ny_2048
2016-4-25.19:21:36      basic       0      0:00:00.050698      noXDepInFunc/ny_16
2016-4-25.19:21:36      basic       1      0:00:00.040689      noXDepInFunc/ny_32
2016-4-25.19:21:36      basic       2      0:00:00.055278      noXDepInFunc/ny_64
2016-4-25.19:21:36      basic       3      0:00:00.076645      noXDepInFunc/ny_128
2016-4-25.19:21:36      basic       4      0:00:00.118311      noXDepInFunc/ny_256
2016-4-25.19:21:36      basic       5      0:00:00.209756      noXDepInFunc/ny_512
2016-4-25.19:21:36      basic       6      0:00:00.397061      noXDepInFunc/ny_1024
2016-4-25.19:21:36      basic       7      0:00:00.740066      noXDepInFunc/ny_2048
2016-4-25.19:26:42      basic       0      0:00:00.045805      noXDepInFunc/ny_16
